Type,PD,Pitch,clad_th,U235_enrich,Pu239_enrich,mfrac_Pu,mfrac_Np,mfrac_Am
U,1.2,1.25,0.06,0.06,0,0,0,0
M,1.2,1.25,0.01,0.06,0.69,0.072,0,0
